Supercontig_10.2	supercont10.2
Supercontig_10.1	supercont10.1
Chromosome_10.21	supercont10.21
Chromosome_10.20	supercont10.20
Supercontig_10.12	supercont10.12
Supercontig_10.8	supercont10.8
Supercontig_10.13	supercont10.13
Supercontig_10.7	supercont10.7
Supercontig_10.14	supercont10.14
Supercontig_10.15	supercont10.15
Supercontig_10.9	supercont10.9
Supercontig_10.4	supercont10.4
Supercontig_10.16	supercont10.16
Supercontig_10.17	supercont10.17
Supercontig_10.3	supercont10.3
Supercontig_10.6	supercont10.6
Supercontig_10.18	supercont10.18
Supercontig_10.10	supercont10.10
Supercontig_10.5	supercont10.5
Supercontig_10.19	supercont10.19
Supercontig_10.11	supercont10.11
Supercontig_10.20	supercont10.20
Supercontig_10.21	supercont10.21
Chromosome_10.9	supercont10.9
Chromosome_10.8	supercont10.8
Chromosome_10.19	supercont10.19
Chromosome_10.17	supercont10.17
Chromosome_10.4	supercont10.4
Chromosome_10.18	supercont10.18
Chromosome_10.5	supercont10.5
Chromosome_10.15	supercont10.15
Chromosome_10.6	supercont10.6
Chromosome_10.16	supercont10.16
Chromosome_10.7	supercont10.7
Chromosome_10.13	supercont10.13
Chromosome_10.14	supercont10.14
Chromosome_10.1	supercont10.1
Chromosome_10.11	supercont10.11
Chromosome_10.2	supercont10.2
Chromosome_10.12	supercont10.12
Chromosome_10.3	supercont10.3
Chromosome_10.10	supercont10.10
