HSCHR21_RANDOM_CTG9	GL000210.1
chr1_gl000192_random	GL000192.1
Chr14	14
Chr15	15
Chr16	16
chr8_gl000196_random	GL000196.1
Chr17	17
Chr18	18
Chr19	19
HSCHRUN_RANDOM_CTG3	GL000213.1
HSCHRUN_RANDOM_CTG2	GL000212.1
HSCHRUN_RANDOM_CTG5	GL000215.1
HSCHRUN_RANDOM_CTG4	GL000214.1
Chr11	11
Chr10	10
Chr13	13
HSCHRUN_RANDOM_CTG1	GL000211.1
Chr12	12
HSCHRUN_RANDOM_CTG7	GL000217.1
HSCHRUN_RANDOM_CTG6	GL000216.1
HSCHRUN_RANDOM_CTG9	GL000218.1
chr21_gl000210_random	GL000210.1
chr17_gl000204_random	GL000204.1
HSCHR19_RANDOM_CTG1	GL000208.1
HSCHR19_RANDOM_CTG2	GL000209.1
chr4_gl000193_random	GL000193.1
chr7_gl000195_random	GL000195.1
chrY.fa	Y
chrUn_gl000241	GL000241.1
chrUn_gl000240	GL000240.1
chrUn_gl000243	GL000243.1
chrUn_gl000242	GL000242.1
chrX.fa	X
chr4_gl000194_random	GL000194.1
chr9_gl000200_random	GL000200.1
chr19_gl000209_random	GL000209.1
chrUn_gl000237	GL000237.1
chrUn_gl000238	GL000238.1
chrUn_gl000239	GL000239.1
chrUn_gl000233	GL000233.1
chrUn_gl000234	GL000234.1
chrUn_gl000235	GL000235.1
chrUn_gl000236	GL000236.1
chr8_gl000197_random	GL000197.1
chrUn_gl000248	GL000248.1
HSCHR4_RANDOM_CTG3	GL000194.1
chrUn_gl000249	GL000249.1
HSCHR4_RANDOM_CTG2	GL000193.1
chrUn_gl000246	GL000246.1
chrUn_gl000247	GL000247.1
chrUn_gl000244	GL000244.1
chrUn_gl000245	GL000245.1
HSCHR9_RANDOM_CTG2	GL000199.1
HSCHR9_RANDOM_CTG5	GL000201.1
chrUn_gl000219	GL000219.1
HSCHR9_RANDOM_CTG4	GL000200.1
chrUn_gl000214	GL000214.1
chrUn_gl000213	GL000213.1
chr17_gl000206_random	GL000206.1
chrUn_gl000212	GL000212.1
HSCHRUN_RANDOM_CTG41	GL000248.1
chrUn_gl000211	GL000211.1
HSCHRUN_RANDOM_CTG40	GL000247.1
chrUn_gl000218	GL000218.1
chrUn_gl000217	GL000217.1
HSCHRUN_RANDOM_CTG42	GL000249.1
chrUn_gl000216	GL000216.1
chrUn_gl000215	GL000215.1
HSCHRUN_RANDOM_CTG35	GL000242.1
HSCHRUN_RANDOM_CTG36	GL000243.1
HSCHRUN_RANDOM_CTG37	GL000244.1
HSCHRUN_RANDOM_CTG38	GL000245.1
chr17_gl000203_random	GL000203.1
chrUn_gl000220	GL000220.1
HSCHRUN_RANDOM_CTG39	GL000246.1
chrUn_gl000221	GL000221.1
HSCHR11_RANDOM_CTG2	GL000202.1
HSCHR9_RANDOM_CTG1	GL000198.1
chr11_gl000202_random	GL000202.1
HSCHR1_RANDOM_CTG5	GL000191.1
chr9_gl000198_random	GL000198.1
chrUn_gl000223	GL000223.1
HSCHRUN_RANDOM_CTG30	GL000237.1
chrUn_gl000222	GL000222.1
HSCHR8_RANDOM_CTG4	GL000197.1
chrUn_gl000225	GL000225.1
chrUn_gl000224	GL000224.1
chrUn_gl000227	GL000227.1
HSCHRUN_RANDOM_CTG34	GL000241.1
HSCHR17_RANDOM_CTG3	GL000205.1
chrUn_gl000226	GL000226.1
HSCHR17_RANDOM_CTG4	GL000206.1
HSCHRUN_RANDOM_CTG33	GL000240.1
chrUn_gl000229	GL000229.1
chr1_gl000191_random	GL000191.1
HSCHRUN_RANDOM_CTG32	GL000239.1
HSCHR17_RANDOM_CTG1	GL000203.1
chrUn_gl000228	GL000228.1
HSCHRUN_RANDOM_CTG31	GL000238.1
HSCHR17_RANDOM_CTG2	GL000204.1
HSCHRUN_RANDOM_CTG26	GL000233.1
HSCHRUN_RANDOM_CTG27	GL000234.1
HSCHRUN_RANDOM_CTG24	GL000231.1
HSCHRUN_RANDOM_CTG25	GL000232.1
chrUn_gl000230	GL000230.1
chrUn_gl000231	GL000231.1
HSCHRUN_RANDOM_CTG28	GL000235.1
chrUn_gl000232	GL000232.1
HSCHR8_RANDOM_CTG1	GL000196.1
HSCHRUN_RANDOM_CTG29	GL000236.1
HSCHR1_RANDOM_CTG12	GL000192.1
HSCHRUN_RANDOM_CTG21	GL000228.1
ChrX	X
chr19_gl000208_random	GL000208.1
HSCHRUN_RANDOM_CTG20	GL000227.1
HSCHRUN_RANDOM_CTG23	GL000230.1
HSCHRUN_RANDOM_CTG22	GL000229.1
ChrY	Y
HSCHRUN_RANDOM_CTG17	GL000225.1
HSCHR18_RANDOM_CTG1	GL000207.1
HSCHRUN_RANDOM_CTG19	GL000226.1
HSCHRUN_RANDOM_CTG13	GL000221.1
HSCHRUN_RANDOM_CTG14	GL000222.1
HSCHRUN_RANDOM_CTG15	GL000223.1
HSCHRUN_RANDOM_CTG16	GL000224.1
chr18_gl000207_random	GL000207.1
Chr1	1
Chr2	2
chr9_gl000201_random	GL000201.1
Chr3	3
Chr4	4
chr17_gl000205_random	GL000205.1
Chr5	5
chr9_gl000199_random	GL000199.1
Chr6	6
HSCHRUN_RANDOM_CTG11	GL000220.1
Chr7	7
HSCHRUN_RANDOM_CTG10	GL000219.1
Chr8	8
Chr9	9
HSCHR7_RANDOM_CTG1	GL000195.1
chrY	Y
chrX	X
Chr21	21
Chr22	22
Chr20	20
